province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
province-1,udayapur,Urban,Total(Male+Female),247068,192651,634,53777,6,78.23149902051257
province-1,udayapur,Urban,Male,117129,99374,244,17508,3,85.04981686858079
province-1,udayapur,Urban,Female,129939,93277,390,36269,3,72.08536313193113
province-1,udayapur,Rural,Total(Male+Female),65922,48891,135,16895,1,74.36970965686722
province-1,udayapur,Rural,Male,32225,26191,54,5980,0,81.44297905352987
province-1,udayapur,Rural,Female,33697,22700,81,10915,1,67.60542481526545
madhesh,madhesh,Total(Urban+Rural),Total(Male+Female),5473478,3477413,14231,1981166,668,63.7920532429289
madhesh,madhesh,Total(Urban+Rural),Male,2722401,1972460,6859,742731,351,72.70490276781415
madhesh,madhesh,Total(Urban+Rural),Female,2751077,1504953,7372,1238435,317,54.97210728743689
madhesh,saptari,Total(Urban+Rural),Total(Male+Female),639351,432802,1621,204885,43,67.9474967584316
madhesh,saptari,Total(Urban+Rural),Male,315154,246426,723,67983,22,78.42166052152281
madhesh,saptari,Total(Urban+Rural),Female,324197,186376,898,136902,21,57.7654944370244
madhesh,saptari,Urban,Total(Male+Female),401427,279078,1115,121210,24,69.79924120699404
madhesh,saptari,Urban,Male,197204,157274,499,39417,14,80.00496947323583
madhesh,saptari,Urban,Female,204223,121804,616,81793,10,59.944276599599455
madhesh,saptari,Rural,Total(Male+Female),237924,153724,506,83675,19,64.82322086044283
madhesh,saptari,Rural,Male,117950,89152,224,28566,8,75.77448071216617
madhesh,saptari,Rural,Female,119974,64572,282,55109,11,54.05671228766232
madhesh,siraha,Total(Urban+Rural),Total(Male+Female),660735,430205,1976,228444,110,65.40912771383384
madhesh,siraha,Total(Urban+Rural),Male,320175,239514,905,79701,55,75.08987272585304
madhesh,siraha,Total(Urban+Rural),Female,340560,190691,1071,148743,55,56.30784590086916
madhesh,siraha,Urban,Total(Male+Female),459454,301370,1291,156690,103,65.87405920940942
madhesh,siraha,Urban,Male,222692,166890,585,55166,51,75.20476712230345
madhesh,siraha,Urban,Female,236762,134480,706,101524,52,57.09784509338491
madhesh,siraha,Rural,Total(Male+Female),201281,128835,685,71754,7,64.34785200788947
madhesh,siraha,Rural,Male,97483,72624,320,24535,4,74.82740580408893
madhesh,siraha,Rural,Female,103798,56211,365,47219,3,54.50586716507062
madhesh,dhanusa,Total(Urban+Rural),Total(Male+Female),948877,639038,1802,307880,157,67.53667756727162
madhesh,dhanusa,Total(Urban+Rural),Male,466039,356530,908,108525,76,76.69701462753117
madhesh,dhanusa,Total(Urban+Rural),Female,482838,282508,894,199355,81,58.695048856966515
madhesh,dhanusa,Urban,Total(Male+Female),457993,284288,1111,172513,81,62.3151445546111
madhesh,dhanusa,Urban,Male,220530,158156,581,61751,42,71.9797759941958
madhesh,dhanusa,Urban,Female,237463,126132,530,110762,39,53.339678181443006
madhesh,dhanusa,Rural,Total(Male+Female),137150,83626,287,53201,36,61.18337586584032
madhesh,dhanusa,Rural,Male,65909,46520,135,19238,16,70.7869941889575
madhesh,dhanusa,Rural,Female,71241,37106,152,33963,20,52.298535955418934
madhesh,mahottari,Total(Urban+Rural),Total(Male+Female),631664,377568,1868,252123,105,60.069277337318574
madhesh,mahottari,Total(Urban+Rural),Male,308940,211218,927,96743,52,68.66867352884056
madhesh,mahottari,Total(Urban+Rural),Female,322724,166350,941,155380,53,51.83717356006991
madhesh,mahottari,Urban,Total(Male+Female),468836,284510,1362,182877,87,60.97483981605508
madhesh,mahottari,Urban,Male,228814,158616,674,69480,44,69.6154955553419
madhesh,mahottari,Urban,Female,240022,125894,688,113397,43,52.73766571397622
madhesh,mahottari,Rural,Total(Male+Female),162828,93058,506,69246,18,57.461861596285644
madhesh,mahottari,Rural,Male,80126,52602,253,27263,8,65.96485535281931
madhesh,mahottari,Rural,Female,82702,40456,253,41983,10,49.22371889434355
madhesh,sarlahi,Total(Urban+Rural),Total(Male+Female),775410,467669,1477,306128,136,60.50295972453282
madhesh,sarlahi,Total(Urban+Rural),Male,389149,265511,760,122799,79,68.42391988672719
madhesh,sarlahi,Total(Urban+Rural),Female,386261,202158,717,183329,57,52.522776050390796
madhesh,sarlahi,Urban,Total(Male+Female),540224,341970,1124,197011,119,63.50958121075701
madhesh,sarlahi,Urban,Male,269892,191889,576,77355,72,71.31185807656396
madhesh,sarlahi,Urban,Female,270332,150081,548,119656,47,55.72000355118891
madhesh,sarlahi,Rural,Total(Male+Female),235186,125699,353,109117,17,53.59672769637649
madhesh,sarlahi,Rural,Male,119257,73622,184,45444,7,61.888191049582
madhesh,sarlahi,Rural,Female,115929,52077,169,63673,10,45.06723943103106
madhesh,rautahat,Total(Urban+Rural),Total(Male+Female),716200,413631,2387,300155,27,58.08684724937169
madhesh,rautahat,Total(Urban+Rural),Male,358335,236557,1158,120602,18,66.33876121506411
madhesh,rautahat,Total(Urban+Rural),Female,357865,177074,1229,179553,9,49.824095678537994
madhesh,rautahat,Urban,Total(Male+Female),671316,388462,2322,280508,24,58.21163207788881
madhesh,rautahat,Urban,Male,336085,222168,1132,112770,15,66.44152520939643
madhesh,rautahat,Urban,Female,335231,166294,1190,167738,9,49.96077331750345
madhesh,rautahat,Rural,Total(Male+Female),44884,25169,65,19647,3,56.22047945815881
madhesh,rautahat,Rural,Male,22250,14389,26,7832,3,64.78651685393258
madhesh,rautahat,Rural,Female,22634,10780,39,11815,0,47.79977025713528
madhesh,bara,Total(Urban+Rural),Total(Male+Female),923750,608817,2141,312763,29,66.13889039242218
madhesh,bara,Total(Urban+Rural),Male,469685,349383,1007,119282,13,74.60106241417121
madhesh,bara,Total(Urban+Rural),Female,454065,259434,1134,193481,16,57.385616596742764
madhesh,bara,Urban,Total(Male+Female),221124,140187,426,80503,8,63.59011233516036
madhesh,bara,Urban,Male,111925,80819,201,30902,3,72.38775966048692
madhesh,bara,Urban,Female,109199,59368,225,49601,5,54.572844073663674
madhesh,bara,Rural,Total(Male+Female),226144,135858,563,89716,7,60.3248372718268
madhesh,bara,Rural,Male,116144,80138,248,35754,4,69.21235707397713
madhesh,bara,Rural,Female,110000,55720,315,53962,3,50.940909090909095
madhesh,parsa,Total(Urban+Rural),Total(Male+Female),840390,598047,2351,239863,129,71.44278251764062
madhesh,parsa,Total(Urban+Rural),Male,434564,345342,1142,88008,72,79.73140895242128
madhesh,parsa,Total(Urban+Rural),Female,405826,252705,1209,151855,57,62.56720860664423
madhesh,parsa,Rural,Total(Male+Female),231516,148188,645,82662,21,64.28626963147256
madhesh,parsa,Rural,Male,117004,85684,306,31005,9,73.49321390721684
madhesh,parsa,Rural,Female,114512,62504,339,51657,12,54.87896464999301
madhesh,parsa,Urban,Total(Male+Female),113292,73027,478,39761,26,64.88101542915652
madhesh,parsa,Urban,Male,59496,43896,244,15341,15,74.18986150329434
madhesh,parsa,Urban,Female,53796,29131,234,24420,11,54.58584281359209
bagmati,bagmati,Total(Urban+Rural),Total(Male+Female),5718388,4692353,20526,1005281,228,82.4162158986064
bagmati,bagmati,Total(Urban+Rural),Male,2837341,2504079,7841,325303,118,88.53077582144692
bagmati,bagmati,Total(Urban+Rural),Female,2881047,2188274,12685,679978,110,76.39441494706611
bagmati,dolakha,Total(Urban+Rural),Total(Male+Female),160858,116312,688,43848,10,72.73495878352335
bagmati,dolakha,Total(Urban+Rural),Male,77505,62832,237,14428,8,81.37410489645829
bagmati,dolakha,Total(Urban+Rural),Female,83353,53480,451,29420,2,64.70193034443871
bagmati,dolakha,Rural,Total(Male+Female),112228,78917,343,32962,6,70.62408668068575
bagmati,dolakha,Rural,Male,53709,42460,139,11104,6,79.31445381593402
bagmati,dolakha,Rural,Female,58519,36457,204,21858,0,62.648028845332284
bagmati,dolakha,Urban,Total(Male+Female),48630,37395,345,10886,4,77.60641579272054
bagmati,dolakha,Urban,Male,23796,20372,98,3324,2,86.0228609850395
bagmati,dolakha,Urban,Female,24834,17023,247,7562,2,69.54175726826125
bagmati,sindhupalchok,Total(Urban+Rural),Total(Male+Female),243758,165854,767,77134,3,68.35508988422944
bagmati,sindhupalchok,Total(Urban+Rural),Male,119259,89751,345,29161,2,75.54649963524766
bagmati,sindhupalchok,Total(Urban+Rural),Female,124499,76103,422,47973,1,61.46635715949525
bagmati,sindhupalchok,Rural,Total(Male+Female),141462,93684,366,47411,1,66.4842855325105
bagmati,sindhupalchok,Rural,Male,69561,50802,177,18581,1,73.28675550955278
bagmati,sindhupalchok,Rural,Female,71901,42882,189,28830,0,59.90320023365461
bagmati,sindhupalchok,Urban,Total(Male+Female),102296,72170,401,29723,2,70.94216782669899
bagmati,sindhupalchok,Urban,Male,49698,38949,168,10580,1,78.70940480502233
bagmati,sindhupalchok,Urban,Female,52598,33221,233,19143,1,63.603178828092325
bagmati,rasuwa,Total(Urban+Rural),Total(Male+Female),42719,29732,125,12857,5,69.89161731313935
bagmati,rasuwa,Total(Urban+Rural),Male,22023,16779,65,5175,4,76.48367615674522
