province,district,rural/urban,sexname,total,can read & write,can read only,cant read & write,not stated,literacy rate
sudurpaschim,bajhang,Rural,Female,65103,38596,309,26174,24,59.759150883983835
sudurpaschim,bajhang,Urban,Total(Male+Female),50375,36529,247,13587,12,73.0044665012407
sudurpaschim,bajhang,Urban,Male,23778,20122,85,3564,7,84.98191605685929
sudurpaschim,bajhang,Urban,Female,26597,16407,162,10023,5,62.296499605218635
sudurpaschim,darchula,Total(Urban+Rural),Total(Male+Female),122340,95146,488,26659,47,78.17067189798921
sudurpaschim,darchula,Total(Urban+Rural),Male,58600,51176,159,7243,22,87.60238907849829
sudurpaschim,darchula,Total(Urban+Rural),Female,63740,43970,329,19416,25,69.49952933793536
sudurpaschim,darchula,Rural,Total(Male+Female),78910,60576,334,17966,34,77.18920288936764
sudurpaschim,darchula,Rural,Male,37422,32436,102,4869,15,86.94885361552028
sudurpaschim,darchula,Rural,Female,41488,28140,232,13097,19,68.38603933667567
sudurpaschim,darchula,Urban,Total(Male+Female),43430,34570,154,8693,13,79.95394888326042
sudurpaschim,darchula,Urban,Male,21178,18740,57,2374,7,88.75720086882613
sudurpaschim,darchula,Urban,Female,22252,15830,97,6319,6,71.5755887111271
sudurpaschim,baitadi,Total(Urban+Rural),Total(Male+Female),219006,168167,1232,49462,145,77.34902240121275
sudurpaschim,baitadi,Total(Urban+Rural),Male,101488,89005,436,11985,62,88.12963108938987
sudurpaschim,baitadi,Total(Urban+Rural),Female,117518,79162,796,37477,83,68.0389387157712
sudurpaschim,baitadi,Rural,Total(Male+Female),109258,83083,602,25483,90,76.59393362499772
sudurpaschim,baitadi,Rural,Male,50480,43791,209,6442,38,87.16323296354992
sudurpaschim,baitadi,Rural,Female,58778,39292,393,19041,52,67.51675797066929
sudurpaschim,baitadi,Urban,Total(Male+Female),109748,85084,630,23979,55,78.10073987680869
sudurpaschim,baitadi,Urban,Male,51008,45214,227,5543,24,89.08602572145546
sudurpaschim,baitadi,Urban,Female,58740,39870,403,18436,31,68.56145726932243
sudurpaschim,dadeldhura,Total(Urban+Rural),Total(Male+Female),126692,99059,876,26705,52,78.8802765762637
sudurpaschim,dadeldhura,Total(Urban+Rural),Male,58942,52521,258,6138,25,89.54395846764615
sudurpaschim,dadeldhura,Total(Urban+Rural),Female,67750,46538,618,20567,27,69.6029520295203
sudurpaschim,dadeldhura,Rural,Total(Male+Female),71483,54695,563,16198,27,77.30229565071416
sudurpaschim,dadeldhura,Rural,Male,32432,28640,150,3631,11,88.77035027133695
sudurpaschim,dadeldhura,Rural,Female,39051,26055,413,12567,16,67.77803385316638
sudurpaschim,dadeldhura,Urban,Total(Male+Female),55209,44364,313,10507,25,80.9234001702621
sudurpaschim,dadeldhura,Urban,Male,26510,23881,108,2507,14,90.4903809883063
sudurpaschim,dadeldhura,Urban,Female,28699,20483,205,8000,11,72.08613540541482
sudurpaschim,doti,Total(Urban+Rural),Total(Male+Female),182722,129257,1530,51870,65,71.57704053151782
sudurpaschim,doti,Total(Urban+Rural),Male,81848,67860,582,13375,31,83.62085817613136
sudurpaschim,doti,Total(Urban+Rural),Female,100874,61397,948,38495,34,61.80482582231298
sudurpaschim,doti,Rural,Total(Male+Female),122007,85135,1059,35773,40,70.64676616915423
sudurpaschim,doti,Rural,Male,54168,44069,424,9661,14,82.13890119627824
sudurpaschim,doti,Rural,Female,67839,41066,635,26112,26,61.47054054452453
sudurpaschim,doti,Urban,Total(Male+Female),60715,44122,471,16097,25,73.4464300419995
sudurpaschim,doti,Urban,Male,27680,23791,158,3714,17,86.52095375722544
sudurpaschim,doti,Urban,Female,33035,20331,313,12383,8,62.491297109126684
sudurpaschim,achham,Total(Urban+Rural),Total(Male+Female),203771,148014,1311,54316,130,73.28079069151156
sudurpaschim,achham,Total(Urban+Rural),Male,92364,76451,475,15387,51,83.28569572560738
sudurpaschim,achham,Total(Urban+Rural),Female,111407,71563,836,38929,79,64.98604216970209
sudurpaschim,achham,Urban,Total(Male+Female),90209,65213,644,24320,32,73.00491081821104
sudurpaschim,achham,Urban,Male,40753,34184,205,6356,8,84.38397173214241
sudurpaschim,achham,Urban,Female,49456,31029,439,17964,24,63.62827563895179
sudurpaschim,achham,Rural,Total(Male+Female),113562,82801,667,29996,98,73.49993835966256
sudurpaschim,achham,Rural,Male,51611,42267,270,9031,43,82.41847668132762
sudurpaschim,achham,Rural,Female,61951,40534,397,20965,55,66.06995851560103
sudurpaschim,kailali,Total(Urban+Rural),Total(Male+Female),1019147,801453,6662,210622,410,79.29327172625736
sudurpaschim,kailali,Total(Urban+Rural),Male,485951,418120,2286,65356,189,86.51201458583273
sudurpaschim,kailali,Total(Urban+Rural),Female,533196,383333,4376,145266,221,72.71416139655962
sudurpaschim,kailali,Rural,Total(Male+Female),200018,148244,2420,49245,109,75.32522073013429
sudurpaschim,kailali,Rural,Male,94870,77483,810,16519,58,82.52661536839886
sudurpaschim,kailali,Rural,Female,105148,70761,1610,32726,51,68.82774755582606
sudurpaschim,kailali,Urban,Total(Male+Female),449649,345521,2856,101087,185,77.4775435951153
sudurpaschim,kailali,Urban,Male,210183,177991,972,31135,85,85.14627729169342
sudurpaschim,kailali,Urban,Female,239466,167530,1884,69952,100,70.74657780227673
sudurpaschim,kanchanpur,Total(Urban+Rural),Total(Male+Female),472393,376228,2947,93095,123,80.26685408124168
sudurpaschim,kanchanpur,Total(Urban+Rural),Male,218097,191734,1021,25276,66,88.38039954699056
sudurpaschim,kanchanpur,Total(Urban+Rural),Female,254296,184494,1926,67819,57,73.30827067669173
sudurpaschim,kanchanpur,Urban,Total(Male+Female),429345,343117,2552,83576,100,80.51077804562765
sudurpaschim,kanchanpur,Urban,Male,198144,174827,882,22379,56,88.67742651808786
sudurpaschim,kanchanpur,Urban,Female,231201,168290,1670,61197,44,73.51179276906242
sudurpaschim,kanchanpur,Rural,Total(Male+Female),43048,33111,395,9519,23,77.83404571640959
sudurpaschim,kanchanpur,Rural,Male,19953,16907,139,2897,10,85.43076229138475
sudurpaschim,kanchanpur,Rural,Female,23095,16204,256,6622,13,71.27083784368911
